id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6427437,Great Apt - 4 People (Vondelpark),13061109,Wouter,,De Baarsjes - Oud-West,52.35912,4.85553,Entire home/apt,125,2,17,21-05-2018,0.33,1,0
6427711,Stunning green & quiet central Apt,33543583,Rutger & Mariella,,De Baarsjes - Oud-West,52.37252,4.86611,Entire home/apt,190,5,18,02-01-2018,0.29,1,0
6427939,Cosy apartment in Amsterdam,33545979,Sabine,,De Baarsjes - Oud-West,52.37125,4.85797,Entire home/apt,90,3,9,28-01-2019,0.15,1,0
6428256,Unique monumental home with garden,33548038,Mir,,Watergraafsmeer,52.35374,4.93513,Entire home/apt,99,7,0,,,1,0
6428626,Nice & modern private apartment,4266844,Onno,,Osdorp,52.36087,4.79927,Entire home/apt,63,3,17,05-08-2019,0.28,1,0
6428767,Nice cosy appartment in city centre,32254013,Sylvia,,Centrum-West,52.38111,4.88066,Entire home/apt,275,4,23,27-12-2019,0.42,1,0
6429875,Spacious house for family / friends,8236804,Elien,,Noord-West,52.40712,4.90414,Entire home/apt,120,2,32,03-11-2019,0.59,2,26
6429880,Luxurious apartment with garden,33558144,Krista,,De Baarsjes - Oud-West,52.36819,4.87375,Entire home/apt,169,1,6,16-07-2016,0.1,1,0
6430582,"Design luxurious home, 4 bedr, loft",2328927,Wieke,,De Baarsjes - Oud-West,52.36896,4.86766,Entire home/apt,325,3,35,03-01-2020,0.57,1,84
6431180,"Light, cozy and near to Jordaan",33567018,Levi,,Westerpark,52.37511,4.87478,Entire home/apt,126,2,25,04-11-2017,0.42,1,0
6431903,I Love Amsterdam Studio,33569028,Sarah,,Oud-Oost,52.3589,4.93323,Private room,75,3,159,12-02-2020,2.61,2,66
6432414,"Bright, cozy apartment in 'De Pijp'",30789250,Niek,,De Pijp - Rivierenbuurt,52.35358,4.90054,Entire home/apt,95,2,31,07-08-2017,0.51,1,160
6433051,Cosy green oasis in city center,8240831,Minke,,De Baarsjes - Oud-West,52.36312,4.87162,Entire home/apt,145,4,21,24-10-2019,0.35,1,0
6435304,Large family house with garden,33592230,Loïs,,Watergraafsmeer,52.34938,4.93557,Entire home/apt,195,5,2,09-08-2016,0.04,1,0
6439888,Friendly FAMILY house in Amsterdam (free parking),4381603,Eelke,,Noord-Oost,52.38823,4.95921,Entire home/apt,110,3,12,04-08-2019,0.35,1,0
6440123,Amsterdam Design Canal House,6173145,Linda,,Bos en Lommer,52.37756,4.8621,Entire home/apt,125,5,0,,,1,0
6441294,Smart apartment with botanical view,6019841,Petra,,Centrum-Oost,52.36566,4.90838,Private room,169,3,12,17-09-2018,0.31,2,151
6441316,A-Location De Pijp. 6 min.walk Van Gogh.,33630710,Marion,,De Pijp - Rivierenbuurt,52.35683,4.88877,Private room,90,1,596,16-03-2020,9.73,1,256
