"Country or Area","Year","Value"
"France","2014","461479.202003732"
"France","2013","491141.063969292"
"France","2012","490856.471536369"
"France","2011","491009.447207556"
"France","2010","517115.539794043"
"France","2009","510350.606104928"
"France","2008","530315.423997652"
"France","2007","536947.728020251"
"France","2006","547093.228922874"
"France","2005","559498.924554551"
"France","2004","557794.011023129"
"France","2003","559543.623811432"
"France","2002","554879.23927172"
"France","2001","561354.831834371"
"France","2000","556370.453285468"
"France","1999","562660.842087451"
"France","1998","570618.92907282"
"France","1997","556744.446157993"
"France","1996","564086.61885708"
"France","1995","546758.333164511"
"France","1994","538663.614248155"
"France","1993","545037.067628301"
"France","1992","566696.930776479"
"France","1991","578336.069807159"
"France","1990","551048.690848555"
"Germany","2017","906611.46376746"
"Germany","2016","911049.005597473"
"Germany","2015","907190.482232911"
"Germany","2014","903196.413800795"
"Germany","2013","942250.052078276"
"Germany","2012","924611.396101721"
"Germany","2011","920305.851724839"
"Germany","2010","942541.886578093"
"Germany","2009","908054.023287779"
"Germany","2008","975645.901742101"
"Germany","2007","973941.703685705"
"Germany","2006","1000637.86113613"
"Germany","2005","993343.677389606"
"Germany","2004","1019123.50033534"
"Germany","2003","1035574.18189397"
"Germany","2002","1038919.73117792"
"Germany","2001","1060271.28560015"
"Germany","2000","1045187.4344354"
"Germany","1999","1047033.5120204"
"Germany","1998","1080728.8228479"
"Germany","1997","1106000.52204722"
"Germany","1996","1141084.76607261"
"Germany","1995","1123034.58594845"
"Germany","1994","1125835.19460356"
"Germany","1993","1144856.75361968"
"Germany","1992","1153796.49946706"
"Germany","1991","1203924.49235999"
"Germany","1990","1250992.60891226"
"Greece","2017","95420.7824492579"
"Greece","2016","91697.7328411575"
"Greece","2015","95330.3742652544"
"Greece","2014","99113.1058755791"
"Greece","2013","102546.572316616"
"Greece","2012","112146.280905253"
"Greece","2011","115453.960398801"
"Greece","2010","118436.485584057"
"Greece","2009","124534.989884961"
"Greece","2008","131716.460707391"
"Greece","2007","134996.581786056"
"Greece","2006","132390.971574429"
"Greece","2005","136281.248064529"
"Greece","2004","131814.309665334"
"Greece","2003","131131.716166865"
"Greece","2002","127395.403355413"
"Greece","2001","127398.952983144"
"Greece","2000","126346.422029197"
"Greece","1999","122983.419950976"
"Greece","1998","122812.009800099"
"Greece","1997","117213.485431073"
"Greece","1996","112302.557404581"
"Greece","1995","109155.967788079"
"Greece","1994","106804.210974922"
"Greece","1993","104013.094959671"
"Greece","1992","104423.089429062"
"Greece","1991","103172.440329199"
"Greece","1990","103101.312854828"
"Hungary","2017","63787.5798428156"
"Hungary","2016","61139.7800189102"
"Hungary","2015","60767.1431232881"
"Hungary","2014","57415.8204834258"
"Hungary","2013","56795.7691333681"
"Hungary","2012","59647.1823340557"
"Hungary","2011","63351.0090822244"
"Hungary","2010","64949.1341380355"
"Hungary","2009","64585.7922124757"
"Hungary","2008","70576.4523173202"
"Hungary","2007","72383.6199950447"
"Hungary","2006","74143.4465974389"
"Hungary","2005","75359.6573300283"
"Hungary","2004","75604.5147423041"
"Hungary","2003","76638.8353867255"
"Hungary","2002","73602.0665851677"
"Hungary","2001","75243.8553360609"
"Hungary","2000","73207.9710143854"
"Hungary","1999","76138.3656467"
"Hungary","1998","75668.3964088186"
"Hungary","1997","76126.0235284561"
"Hungary","1996","77621.2090629014"
"Hungary","1995","75319.5613414722"
"Hungary","1994","76733.4923332997"
"Hungary","1993","77860.2491790353"
"Hungary","1992","76993.7346913758"
"Hungary","1991","86996.9339772593"
"Hungary","1990","93655.9262830686"
"Iceland","2017","4754.64398392713"
"Iceland","2016","4639.91321041638"
"Iceland","2015","4715.09283772081"
"Iceland","2014","4634.49427799099"
"Iceland","2013","4598.7154254933"
"Iceland","2012","4601.81195332174"
"Iceland","2011","4581.64155428012"
"Iceland","2010","4844.821422073"
"Iceland","2009","4943.02834399058"
"Iceland","2008","5241.3965285552"
"Iceland","2007","4853.20651640048"
"Iceland","2006","4547.64713030478"
"Iceland","2005","3947.31009069501"
"Iceland","2004","4088.26574114877"
"Iceland","2003","3984.21948629514"
"Iceland","2002","4005.90080506856"
"Iceland","2001","3935.29039132724"
"Iceland","2000","4037.67677282335"
"Iceland","1999","4030.51731173796"
"Iceland","1998","3806.96567597937"
"Iceland","1997","3644.76722419458"
"Iceland","1996","3474.31910228319"
"Iceland","1995","3426.17593601652"
"Iceland","1994","3300.87650519844"
"Iceland","1993","3378.18842826825"
"Iceland","1992","3293.95794183094"
"Iceland","1991","3381.65271388796"
"Iceland","1990","3598.27058868961"
"Ireland","2017","60743.7252502302"
"Ireland","2016","61270.2016144391"
"Ireland","2015","59211.8125206129"
"Ireland","2014","57098.536885642"
"Ireland","2013","57410.2147514188"
"Ireland","2012","57611.5340974633"
"Ireland","2011","56989.1934353769"
"Ireland","2010","61104.8439011533"
"Ireland","2009","61547.2337789327"
"Ireland","2008","67301.8269380515"
"Ireland","2007","68018.4976681551"
"Ireland","2006","68782.2260714384"
"Ireland","2005","69495.0320977014"
"Ireland","2004","67963.8342180709"
"Ireland","2003","68662.5750920911"
"Ireland","2002","68428.6586196398"
"Ireland","2001","70475.2593168253"
"Ireland","2000","68478.4068609908"
"Ireland","1999","66308.6913542811"
"Ireland","1998","65173.6402043626"
"Ireland","1997","62652.4305458196"
"Ireland","1996","61272.6771513672"
"Ireland","1995","59177.472068131"
"Ireland","1994","57697.0255940621"
"Ireland","1993","56359.8153074209"
"Ireland","1992","55959.165606093"
"Ireland","1991","56097.2621621524"
"Ireland","1990","55417.0634423835"
"Italy","2017","427707.84700829"
"Italy","2016","432119.010604574"
"Italy","2015","434043.793316207"
"Italy","2014","426211.749668455"
"Italy","2013","442708.383434046"
"Italy","2012","472722.356187893"
"Italy","2011","492475.30674378"
"Italy","2010","505773.047466611"
"Italy","2009","496177.67052316"
"Italy","2008","547846.688807141"
"Italy","2007","560568.959523055"
"Italy","2006","570044.719529409"
"Italy","2005","580599.890710524"
"Italy","2004","579999.234095701"
"Italy","2003","575695.547995376"
"Italy","2002","561242.99065002"
"Italy","2001","561225.229672471"
"Italy","2000","554105.749469561"
